头实体,关系,尾实体
查尔斯·阿兰基斯,出生地,圣地亚哥
查尔斯·阿兰基斯,出生日期,1989年4月17日
离开,歌手,张宇
离开,作曲,张宇
愤怒的唐僧,出品公司,北京吴意波影视文化工作室
愤怒的唐僧,导演,吴意波
李治,妻子,萧淑妃
萧淑妃,丈夫,李治
工业4.0,作者,恩斯特·安德雷亚斯·哈特曼
工业4.0,作者,阿尔冯斯·波特霍夫
工业4.0,出版社,机械工业出版社
周佛海,妻子,杨淑慧
杨淑慧,丈夫,周佛海
李烈钧自述,作者,李烈钧
李烈钧自述,出版社,人民日报出版社
少年包青天,主演,李冰冰
马志舟,国籍,中国
马志舟,出生日期,1907年
马志舟,民族,汉族
马志舟,出生地,陕西三原
斑刺莺,目,雀形目
课本上学不到的生物学2,出版社,上海科技教育出版社
南京京九思新能源有限公司,成立日期,2015年05月15日
朱明宏,民族,汉族
朱明宏,出生地,浙江义乌
朱明宏,出生日期,1968年6月
田承冉,出生地,山东桓台
田承冉,民族,汉族
田承冉,出生日期,1952年
深夜烘焙坊,主演,泷泽秀明
深夜烘焙坊,主演,桐山照史
深夜烘焙坊,主演,土屋太凤
星空黑夜传奇,连载网站,起点中文网
星空黑夜传奇,作者,啤酒的罪孽
Chanda Mushili,国籍,赞比亚
神奇化妆师,所属专辑,《？》
神奇化妆师,歌手,陈奕迅
莫迪博·迪亚基特,出生日期,1987年3月2日
莫迪博·迪亚基特,出生地,赖恩堡
莫迪博·迪亚基特,身高,192cm
冰山上的来客,主演,努尔比亚
冰山上的来客,主演,王洛勇
冰山上的来客,导演,戴冰
冰山上的来客,主演,于荣光
心理罪,作者,雷米
布丹,国籍,法国
布丹,出生日期,1824年
森林报-秋,作者,维·比安基
森林报-秋,出版社,二十一世纪出版社
我的父亲我的兵,主演,张一山
心理罪,主演,陈若轩
心理罪,主演,王泷正
心理罪,编剧,顾小白
心理罪,导演,五百
心理罪,主演,付枚
心理罪,主演,温心
李素节,母亲,萧淑妃
咪咪找妈妈,编剧,贺梦凡
咪咪找妈妈,导演,贺梦凡
健行天下：带上一本健康的书去出行,出版社,人民军医出版社
健行天下：带上一本健康的书去出行,作者,秦惠基
东边日出西边雨,主演,许晴
马红宝,民族,汉族
马红宝,国籍,中国
马红宝,出生地,浙江省长兴
马红宝,出生日期,1949年8月
吕雅娟,毕业院校,哈尔滨工业大学
小王子,主演,たてかべ和也
小王子,导演,神田武幸
小王子,主演,松尾佳子
你的嘴,所属专辑,星月神话
你的嘴,作词,许嵩
你的嘴,作曲,许嵩
你的嘴,歌手,金莎
蛤蟆的油,作者,黑泽明
红地球葡萄栽培技术问答,出版社,天津科技翻译出版公司
苻坚,出生日期,338年
苻坚,字,文玉
苻坚,出生地,略阳临渭
苻坚,民族,氐族
夜半歌声,主演,黄磊
滑板战士,导演,虎田功
滑板战士,出品公司,Studio DEEN NAS TV Tokyo
大明按察使,导演,黄克敏
大明按察使,主演,丁勇岱
大明按察使,主演,姚橹
大明按察使,主演,杨旸
韦爱萍,民族,汉族
韦爱萍,毕业院校,西北大学
焦作市河阳酒精实业有限公司,成立日期,2001年2月23日
我的麻烦老友,导演,叶伟英
李白,丈夫,撒贝宁
撒贝宁,妻子,李白
张书文,出生日期,1964年3月
张书文,出生地,湖北随州广水市
张书文,民族,汉族
茧蜂,目,膜翅目
夏振锟,出生地,江苏省连云港
夏振锟,毕业院校,苏州农业大学
雅虎,创始人,杨致远
李白,号,青莲居士
李白,朝代,唐朝
李白,字,太白
卷珠帘,歌手,霍尊
李欣,毕业院校,东京海洋大学
蔡长风,出生地,江西
蔡长风,出生日期,1910
下班抓紧谈恋爱,导演,万洋
下班抓紧谈恋爱,主演,杜海涛
下班抓紧谈恋爱,主演,朱雨辰
下班抓紧谈恋爱,出品公司,上海强胜影视
下班抓紧谈恋爱,出品公司,万达影视传媒
下班抓紧谈恋爱,主演,杨淇
下班抓紧谈恋爱,主演,徐黄丽
贺捷生,国籍,中国
贺捷生,出生日期,1935年11月1日
贺捷生,父亲,贺龙
贺捷生,出生地,湖南省桑植县
跟着贝尔去冒险,嘉宾,谢天华
跟着贝尔去冒险,嘉宾,白敬亭
跟着贝尔去冒险,嘉宾,张丹峰
跟着贝尔去冒险,嘉宾,吴倩
跟着贝尔去冒险,嘉宾,张钧甯
跟着贝尔去冒险,嘉宾,韩雪
一个和八个,导演,张军钊
神之水滴,上映时间,2009年1月13日
神之水滴,出品公司,日本电视台
这个杀手不太冷,上映时间,1994年
桃李春风,导演,吴家骧
大医院小医师,作者,侯文咏
男人有泪,歌手,萧煌奇
男人有泪,所属专辑,好好先生
中国姓氏大辞典,出版社,江西人民出版社
中国姓氏大辞典,作者,袁义达
中国姓氏大辞典,作者,邱家儒
神雕侠侣,主演,陈妍希
新不了情,作词,黄郁
刘恺威,妻子,杨幂
杨幂,丈夫,刘恺威
刺跗逍遥蛛,目,蜘蛛目
黄兴兰,毕业院校,四川医学院
名画的创造者,作者,许延风
名画的创造者,出版社,中国工人出版社
Amrane,国籍,阿尔及利亚
东邪西毒,主演,张曼玉
四面楚歌,歌手,谢安琪
四面楚歌,所属专辑,最好的时刻2006-2012
阿梅素,国籍,加纳
阿梅素,身高,171cm
阿梅素,出生日期,1980年11月22日
末世重生之肖文,连载网站,17k小说网
末世重生之肖文,作者,那时的年华
任子行,成立日期,2000年5月
杨维桢,出生日期,1296
杨维桢,朝代,元末明初
17,歌手,艾薇儿
17,所属专辑,《Avril Lavigne》
艾薇儿,国籍,加拿大
肌肤的纹理,导演,李成康
秦古论坛,成立日期,2009年9月9日
汪景宽,出生日期,1963
汪景宽,民族,满族
汪景宽,出生地,辽宁省凤城
付成双,出生地,山东省滨州市惠民县
付成双,出生日期,1970年
柿蒂虫,目,鳞翅目
还要,歌手,高进
还要,作曲,高进
程天豹,毕业院校,中南大学
锯蝇,目,膜翅目
唐赛儿,作者,刘凤海
唐赛儿,出版社,大众文艺出版社
修仙路上劫个色,连载网站,纵横中文网
修仙路上劫个色,作者,羽毛扇
王饭包,出生日期,1901
王饭包,出生地,福建省寿宁县竹管垄乡刘坪村
尼林,身高,180cm
尼林,国籍,巴西
尼林,出生日期,1986年9月20日
中山陵,所在城市,南京
金一宁,出生日期,1972年2月
金一宁,毕业院校,哈尔滨商业大学
穿越之进击的绅士,作者,便前洗手
